match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20230901-W-US_Open-R32-Taylor_Townsend-Karolina_Muchova,Taylor Townsend,2,26,50.0%,43.5%,52.6%,35.7%,45.5%,33.3%,60.0%,50.0%,50.0%,50.0%
20230901-W-US_Open-R32-Taylor_Townsend-Karolina_Muchova,Karolina Muchova,1,45,77.8%,68.8%,71.0%,57.1%,80.0%,66.7%,66.7%,25.0%,33.3%,33.3%
20230901-W-US_Open-R32-Taylor_Townsend-Karolina_Muchova,Karolina Muchova,2,28,60.7%,56.0%,63.6%,52.9%,60.0%,33.3%,50.0%,25.0%,33.3%,33.3%
20230901-W-US_Open-R32-Sorana_Cirstea-Elena_Rybakina,Sorana Cirstea,1,71,66.2%,54.7%,61.7%,47.1%,64.0%,52.6%,58.8%,50.0%,63.6%,20.0%
20230901-W-US_Open-R32-Sorana_Cirstea-Elena_Rybakina,Sorana Cirstea,2,39,53.8%,47.1%,55.2%,48.0%,57.1%,40.0%,46.2%,36.4%,57.1%,50.0%
20230901-W-US_Open-R32-Sorana_Cirstea-Elena_Rybakina,Elena Rybakina,1,58,55.2%,42.2%,50.0%,24.0%,31.6%,23.5%,30.8%,10.0%,16.7%,16.7%
20230901-W-US_Open-R32-Sorana_Cirstea-Elena_Rybakina,Elena Rybakina,2,43,55.8%,52.5%,61.8%,45.8%,55.0%,47.1%,72.7%,50.0%,60.0%,50.0%
20230901-W-US_Open-R32-Jennifer_Brady-Caroline_Wozniacki,Jennifer Brady,1,46,52.2%,37.1%,48.1%,39.1%,42.9%,29.4%,31.3%,15.4%,20.0%,11.1%
20230901-W-US_Open-R32-Jennifer_Brady-Caroline_Wozniacki,Jennifer Brady,2,32,62.5%,58.6%,58.6%,53.8%,58.3%,52.4%,64.7%,57.1%,66.7%,50.0%
20230901-W-US_Open-R32-Jennifer_Brady-Caroline_Wozniacki,Caroline Wozniacki,1,48,62.5%,55.0%,62.9%,58.1%,60.0%,50.0%,52.2%,42.1%,57.1%,50.0%
20230901-W-US_Open-R32-Jennifer_Brady-Caroline_Wozniacki,Caroline Wozniacki,2,23,69.6%,65.0%,76.5%,71.4%,83.3%,81.8%,81.8%,75.0%,75.0%,60.0%
20230831-W-US_Open-R64-Caroline_Wozniacki-Petra_Kvitova,Caroline Wozniacki,1,53,73.6%,54.8%,58.6%,47.8%,64.7%,45.5%,62.5%,50.0%,60.0%,50.0%
20230831-W-US_Open-R64-Caroline_Wozniacki-Petra_Kvitova,Caroline Wozniacki,2,24,45.8%,31.6%,54.5%,28.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20230831-W-US_Open-R64-Caroline_Wozniacki-Petra_Kvitova,Petra Kvitova,1,54,66.7%,53.8%,63.6%,47.8%,61.1%,41.7%,55.6%,20.0%,100.0%,-
20230831-W-US_Open-R64-Caroline_Wozniacki-Petra_Kvitova,Petra Kvitova,2,37,51.4%,43.8%,53.8%,33.3%,42.9%,27.3%,42.9%,0.0%,0.0%,0.0%
20230830-W-US_Open-R64-Jennifer_Brady-Magda_Linette,Jennifer Brady,1,54,61.1%,43.2%,53.3%,17.6%,25.0%,25.0%,37.5%,28.6%,40.0%,25.0%
20230830-W-US_Open-R64-Jennifer_Brady-Magda_Linette,Jennifer Brady,2,42,52.4%,50.0%,54.1%,46.9%,50.0%,46.4%,61.9%,57.9%,73.3%,66.7%
20230830-W-US_Open-R64-Jennifer_Brady-Magda_Linette,Magda Linette,1,42,54.8%,40.6%,46.4%,37.5%,37.5%,28.6%,40.0%,30.8%,33.3%,20.0%
20230830-W-US_Open-R64-Jennifer_Brady-Magda_Linette,Magda Linette,2,22,36.4%,22.2%,28.6%,28.6%,33.3%,33.3%,40.0%,33.3%,37.5%,28.6%
20230830-W-US_Open-R64-Coco_Gauff-Mirra_Andreeva,Coco Gauff,1,27,85.2%,77.8%,82.4%,72.7%,80.0%,66.7%,66.7%,50.0%,50.0%,33.3%
20230830-W-US_Open-R64-Coco_Gauff-Mirra_Andreeva,Coco Gauff,2,18,66.7%,60.0%,69.2%,69.2%,90.0%,88.9%,88.9%,85.7%,85.7%,85.7%
20230830-W-US_Open-R64-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,1,28,53.6%,45.8%,55.0%,43.8%,50.0%,36.4%,44.4%,28.6%,66.7%,50.0%
20230830-W-US_Open-R64-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,2,25,40.0%,31.8%,36.8%,25.0%,30.8%,18.2%,22.2%,12.5%,16.7%,0.0%
20230830-W-US_Open-R128-Barbora_Strycova-Kaia_Kanepi,Barbora Strycova,1,40,65.0%,57.6%,67.9%,59.1%,72.2%,61.5%,66.7%,50.0%,50.0%,42.9%
20230830-W-US_Open-R128-Barbora_Strycova-Kaia_Kanepi,Barbora Strycova,2,29,62.1%,52.2%,66.7%,57.1%,61.5%,44.4%,66.7%,50.0%,66.7%,0.0%
20230830-W-US_Open-R128-Barbora_Strycova-Kaia_Kanepi,Kaia Kanepi,1,31,74.2%,65.2%,83.3%,62.5%,71.4%,50.0%,50.0%,33.3%,33.3%,0.0%
20230830-W-US_Open-R128-Barbora_Strycova-Kaia_Kanepi,Kaia Kanepi,2,24,70.8%,65.0%,68.4%,60.0%,75.0%,62.5%,83.3%,66.7%,100.0%,100.0%
20230829-W-US_Open-R128-Martina_Trevisan-Yulia_Putintseva,Martina Trevisan,1,68,45.6%,41.3%,50.0%,43.5%,51.3%,38.7%,48.0%,35.0%,50.0%,22.2%
20230829-W-US_Open-R128-Martina_Trevisan-Yulia_Putintseva,Martina Trevisan,2,32,59.4%,55.2%,64.0%,57.1%,66.7%,50.0%,54.5%,50.0%,50.0%,50.0%
20230829-W-US_Open-R128-Martina_Trevisan-Yulia_Putintseva,Yulia Putintseva,1,90,54.4%,47.4%,49.3%,41.5%,47.4%,43.4%,51.1%,46.3%,50.0%,40.6%
20230829-W-US_Open-R128-Martina_Trevisan-Yulia_Putintseva,Yulia Putintseva,2,26,50.0%,40.9%,47.4%,37.5%,40.0%,25.0%,27.3%,0.0%,0.0%,0.0%
20230829-W-US_Open-R128-Elsa_Jacquemot-Lesia_Tsurenko,Elsa Jacquemot,1,44,52.3%,27.6%,33.3%,23.8%,29.4%,14.3%,25.0%,14.3%,33.3%,33.3%
20230829-W-US_Open-R128-Elsa_Jacquemot-Lesia_Tsurenko,Elsa Jacquemot,2,31,48.4%,40.7%,50.0%,42.1%,57.1%,45.5%,62.5%,50.0%,75.0%,66.7%
20230829-W-US_Open-R128-Elsa_Jacquemot-Lesia_Tsurenko,Lesia Tsurenko,1,76,55.3%,45.2%,54.9%,46.5%,55.6%,48.4%,53.6%,43.5%,52.6%,47.1%
20230829-W-US_Open-R128-Elsa_Jacquemot-Lesia_Tsurenko,Lesia Tsurenko,2,19,63.2%,36.4%,57.1%,40.0%,40.0%,25.0%,33.3%,33.3%,50.0%,50.0%
20230829-W-US_Open-R128-Camila_Giorgi-Jessica_Pegula,Camila Giorgi,1,51,62.7%,51.3%,54.1%,32.0%,47.1%,30.8%,36.4%,22.2%,33.3%,33.3%
20230829-W-US_Open-R128-Camila_Giorgi-Jessica_Pegula,Camila Giorgi,2,21,38.1%,31.6%,40.0%,25.0%,50.0%,40.0%,66.7%,50.0%,100.0%,-
20230829-W-US_Open-R128-Camila_Giorgi-Jessica_Pegula,Jessica Pegula,1,28,89.3%,80.0%,80.0%,62.5%,71.4%,50.0%,50.0%,33.3%,100.0%,-
20230829-W-US_Open-R128-Camila_Giorgi-Jessica_Pegula,Jessica Pegula,2,16,62.5%,45.5%,62.5%,57.1%,57.1%,40.0%,66.7%,50.0%,50.0%,50.0%
20230829-W-US_Open-R128-Anastasia_Pavlyuchenkova-Fiona_Crawley,Anastasia Pavlyuchenkova,1,39,61.5%,50.0%,68.2%,46.2%,46.2%,30.0%,42.9%,33.3%,66.7%,66.7%
20230829-W-US_Open-R128-Anastasia_Pavlyuchenkova-Fiona_Crawley,Anastasia Pavlyuchenkova,2,12,58.3%,37.5%,42.9%,33.3%,40.0%,25.0%,25.0%,25.0%,50.0%,0.0%
20230829-W-US_Open-R128-Anastasia_Pavlyuchenkova-Fiona_Crawley,Fiona Crawley,1,41,43.9%,32.4%,42.3%,37.5%,40.9%,27.8%,50.0%,44.4%,50.0%,33.3%
20230829-W-US_Open-R128-Anastasia_Pavlyuchenkova-Fiona_Crawley,Fiona Crawley,2,13,53.8%,45.5%,62.5%,57.1%,66.7%,66.7%,66.7%,50.0%,66.7%,50.0%
20230828-W-US_Open-R128-Maria_Sakkari-Rebeka_Masarova,Maria Sakkari,1,32,68.8%,60.0%,71.4%,60.0%,60.0%,50.0%,75.0%,66.7%,100.0%,100.0%
20230828-W-US_Open-R128-Maria_Sakkari-Rebeka_Masarova,Maria Sakkari,2,21,47.6%,42.1%,61.5%,54.5%,66.7%,40.0%,66.7%,0.0%,0.0%,0.0%
20230828-W-US_Open-R128-Maria_Sakkari-Rebeka_Masarova,Rebeka Masarova,1,44,68.2%,53.3%,66.7%,46.7%,58.3%,37.5%,42.9%,20.0%,33.3%,33.3%
20230828-W-US_Open-R128-Maria_Sakkari-Rebeka_Masarova,Rebeka Masarova,2,23,60.9%,50.0%,60.0%,50.0%,60.0%,50.0%,66.7%,33.3%,50.0%,0.0%
20230828-W-US_Open-R128-Iga_Swiatek-Rebecca_Peterson,Iga Swiatek,1,30,76.7%,66.7%,77.8%,66.7%,72.7%,50.0%,60.0%,60.0%,75.0%,50.0%
20230828-W-US_Open-R128-Iga_Swiatek-Rebecca_Peterson,Iga Swiatek,2,11,63.6%,63.6%,87.5%,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,-
20230828-W-US_Open-R128-Iga_Swiatek-Rebecca_Peterson,Rebecca Peterson,1,21,33.3%,22.2%,26.7%,8.3%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20230828-W-US_Open-R128-Iga_Swiatek-Rebecca_Peterson,Rebecca Peterson,2,10,30.0%,22.2%,40.0%,40.0%,50.0%,33.3%,50.0%,50.0%,50.0%,0.0%
20230828-W-US_Open-R128-Coco_Gauff-Laura_Siegemund,Coco Gauff,1,40,75.0%,52.4%,57.9%,38.5%,41.7%,22.2%,33.3%,0.0%,0.0%,0.0%
20230828-W-US_Open-R128-Coco_Gauff-Laura_Siegemund,Coco Gauff,2,40,52.5%,42.4%,56.0%,42.1%,53.3%,46.2%,75.0%,66.7%,66.7%,50.0%
20230828-W-US_Open-R128-Coco_Gauff-Laura_Siegemund,Laura Siegemund,1,87,58.6%,53.8%,61.8%,52.7%,70.7%,62.5%,69.0%,55.0%,73.3%,63.6%
20230828-W-US_Open-R128-Coco_Gauff-Laura_Siegemund,Laura Siegemund,2,18,44.4%,41.2%,63.6%,60.0%,75.0%,66.7%,80.0%,66.7%,66.7%,50.0%
20230828-W-US_Open-R128-Anhelina_Kalinina-Sara_Sorribes_Tormo,Anhelina Kalinina,1,44,50.0%,43.6%,50.0%,43.3%,50.0%,48.0%,52.2%,47.6%,55.6%,42.9%
20230828-W-US_Open-R128-Anhelina_Kalinina-Sara_Sorribes_Tormo,Anhelina Kalinina,2,16,25.0%,25.0%,30.8%,18.2%,25.0%,14.3%,25.0%,25.0%,50.0%,50.0%
20230828-W-US_Open-R128-Anhelina_Kalinina-Sara_Sorribes_Tormo,Sara Sorribes Tormo,1,41,48.8%,46.2%,50.0%,43.8%,46.7%,38.5%,45.5%,33.3%,35.3%,0.0%
20230828-W-US_Open-R128-Anhelina_Kalinina-Sara_Sorribes_Tormo,Sara Sorribes Tormo,2,23,52.2%,45.0%,50.0%,40.0%,46.2%,41.7%,45.5%,45.5%,50.0%,37.5%
20230826-W-US_Open-Q3-Elsa_Jacquemot-Arianne_Hartono,Elsa Jacquemot,1,33,75.8%,68.0%,73.9%,40.0%,50.0%,20.0%,25.0%,0.0%,0.0%,0.0%
20230826-W-US_Open-Q3-Elsa_Jacquemot-Arianne_Hartono,Elsa Jacquemot,2,17,58.8%,46.2%,54.5%,37.5%,50.0%,40.0%,66.7%,50.0%,50.0%,50.0%
20230826-W-US_Open-Q3-Elsa_Jacquemot-Arianne_Hartono,Arianne Hartono,1,37,43.2%,34.4%,50.0%,35.3%,37.5%,28.6%,44.4%,28.6%,40.0%,25.0%
20230826-W-US_Open-Q3-Elsa_Jacquemot-Arianne_Hartono,Arianne Hartono,2,25,56.0%,50.0%,68.8%,61.5%,72.7%,62.5%,71.4%,33.3%,50.0%,50.0%
20230824-W-US_Open-Q2-Celine_Naef-Katie_Volynets,Celine Naef,1,47,55.3%,46.2%,56.3%,53.3%,57.1%,45.5%,52.6%,43.8%,58.3%,54.5%
20230824-W-US_Open-Q2-Celine_Naef-Katie_Volynets,Celine Naef,2,34,47.1%,41.9%,52.0%,50.0%,57.1%,52.6%,58.8%,53.3%,66.7%,42.9%
20230824-W-US_Open-Q2-Celine_Naef-Katie_Volynets,Katie Volynets,1,34,70.6%,64.3%,72.0%,69.6%,80.0%,76.5%,86.7%,81.8%,90.0%,85.7%
20230824-W-US_Open-Q2-Celine_Naef-Katie_Volynets,Katie Volynets,2,18,55.6%,46.7%,50.0%,36.4%,36.4%,30.0%,42.9%,42.9%,50.0%,50.0%
20230822-W-US_Open-Q1-Liv_Hovde-Darja_Semenistaja,Liv Hovde,1,27,63.0%,54.5%,63.2%,46.2%,46.2%,36.4%,50.0%,20.0%,20.0%,20.0%
20230822-W-US_Open-Q1-Liv_Hovde-Darja_Semenistaja,Liv Hovde,2,22,31.8%,28.6%,35.3%,35.3%,40.0%,35.7%,50.0%,44.4%,50.0%,42.9%
20230822-W-US_Open-Q1-Liv_Hovde-Darja_Semenistaja,Darja Semenistaja,1,34,70.6%,64.3%,69.2%,57.9%,73.3%,60.0%,75.0%,71.4%,83.3%,75.0%
20230822-W-US_Open-Q1-Liv_Hovde-Darja_Semenistaja,Darja Semenistaja,2,10,50.0%,44.4%,57.1%,40.0%,50.0%,50.0%,66.7%,66.7%,66.7%,0.0%
20230818-W-Cincinnati-QF-Karolina_Muchova-Marie_Bouzkova,Karolina Muchova,1,9,77.8%,66.7%,66.7%,50.0%,100.0%,-,-,-,-,-
20230818-W-Cincinnati-QF-Karolina_Muchova-Marie_Bouzkova,Karolina Muchova,2,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,-,-,-
20230818-W-Cincinnati-QF-Karolina_Muchova-Marie_Bouzkova,Marie Bouzkova,1,1,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-
20230818-W-Cincinnati-QF-Karolina_Muchova-Marie_Bouzkova,Marie Bouzkova,2,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-
20230817-W-Cincinnati-R16-Coco_Gauff-Linda_Noskova,Coco Gauff,1,25,68.0%,50.0%,61.5%,28.6%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20230817-W-Cincinnati-R16-Coco_Gauff-Linda_Noskova,Coco Gauff,2,16,43.8%,25.0%,33.3%,25.0%,40.0%,40.0%,66.7%,66.7%,66.7%,66.7%
20230817-W-Cincinnati-R16-Coco_Gauff-Linda_Noskova,Linda Noskova,1,33,33.3%,18.5%,26.3%,17.6%,33.3%,14.3%,25.0%,25.0%,50.0%,50.0%
20230817-W-Cincinnati-R16-Coco_Gauff-Linda_Noskova,Linda Noskova,2,13,15.4%,8.3%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20230816-W-Cincinnati-R32-Elena_Rybakina-Jelena_Ostapenko,Elena Rybakina,1,50,74.0%,43.5%,50.0%,16.7%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20230816-W-Cincinnati-R32-Elena_Rybakina-Jelena_Ostapenko,Elena Rybakina,2,50,54.0%,39.5%,60.0%,41.2%,63.6%,33.3%,66.7%,50.0%,50.0%,50.0%
20230816-W-Cincinnati-R32-Elena_Rybakina-Jelena_Ostapenko,Jelena Ostapenko,1,54,63.0%,42.9%,57.7%,38.9%,70.0%,40.0%,100.0%,-,-,-
20230816-W-Cincinnati-R32-Elena_Rybakina-Jelena_Ostapenko,Jelena Ostapenko,2,33,42.4%,29.6%,57.1%,45.5%,100.0%,100.0%,100.0%,-,-,-
20230813-W-ITF_Leipzig-F-Darya_Astakhova-Brenda_Fruhvirtova,Darya Astakhova,1,33,57.6%,46.2%,50.0%,42.9%,52.9%,33.3%,57.1%,40.0%,66.7%,50.0%
20230813-W-ITF_Leipzig-F-Darya_Astakhova-Brenda_Fruhvirtova,Darya Astakhova,2,20,50.0%,44.4%,53.3%,46.2%,54.5%,50.0%,50.0%,50.0%,62.5%,57.1%
20230813-W-ITF_Leipzig-F-Darya_Astakhova-Brenda_Fruhvirtova,Brenda Fruhvirtova,1,28,82.1%,73.7%,82.4%,72.7%,80.0%,77.8%,87.5%,83.3%,83.3%,75.0%
20230813-W-ITF_Leipzig-F-Darya_Astakhova-Brenda_Fruhvirtova,Brenda Fruhvirtova,2,12,91.7%,90.0%,90.0%,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,-
20230810-W-Montreal-R16-Elena_Rybakina-Sloane_Stephens,Elena Rybakina,1,24,70.8%,50.0%,70.0%,25.0%,33.3%,33.3%,33.3%,0.0%,0.0%,0.0%
20230810-W-Montreal-R16-Elena_Rybakina-Sloane_Stephens,Elena Rybakina,2,22,68.2%,63.2%,63.2%,53.3%,72.7%,62.5%,100.0%,100.0%,100.0%,100.0%
20230810-W-Montreal-R16-Elena_Rybakina-Sloane_Stephens,Sloane Stephens,1,29,58.6%,42.9%,50.0%,43.8%,70.0%,66.7%,75.0%,66.7%,80.0%,50.0%
20230810-W-Montreal-R16-Elena_Rybakina-Sloane_Stephens,Sloane Stephens,2,19,42.1%,15.4%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20230808-W-Montreal-R64-Karolina_Muchova-Anastasia_Potapova,Karolina Muchova,1,41,73.2%,63.3%,70.4%,46.7%,70.0%,50.0%,60.0%,33.3%,50.0%,50.0%
20230808-W-Montreal-R64-Karolina_Muchova-Anastasia_Potapova,Karolina Muchova,2,23,73.9%,60.0%,69.2%,55.6%,62.5%,57.1%,80.0%,0.0%,0.0%,0.0%
20230808-W-Montreal-R64-Karolina_Muchova-Anastasia_Potapova,Anastasia Potapova,1,43,62.8%,55.6%,60.6%,45.8%,64.7%,53.8%,70.0%,62.5%,100.0%,100.0%
20230808-W-Montreal-R64-Karolina_Muchova-Anastasia_Potapova,Anastasia Potapova,2,30,53.3%,22.2%,28.6%,28.6%,36.4%,12.5%,20.0%,20.0%,100.0%,-
20230808-W-Montreal-R64-Danielle_Collins-Elina_Svitolina,Danielle Collins,1,27,66.7%,47.1%,57.1%,45.5%,55.6%,42.9%,50.0%,40.0%,50.0%,33.3%
20230808-W-Montreal-R64-Danielle_Collins-Elina_Svitolina,Danielle Collins,2,21,81.0%,77.8%,82.4%,72.7%,80.0%,71.4%,83.3%,75.0%,75.0%,66.7%
20230808-W-Montreal-R64-Danielle_Collins-Elina_Svitolina,Elina Svitolina,1,33,63.6%,36.8%,50.0%,36.4%,44.4%,16.7%,25.0%,0.0%,0.0%,0.0%
20230808-W-Montreal-R64-Danielle_Collins-Elina_Svitolina,Elina Svitolina,2,13,46.2%,30.0%,60.0%,33.3%,50.0%,50.0%,50.0%,0.0%,-,-
20230807-W-Montreal-R64-Caroline_Wozniacki-Kimberly_Birrell,Caroline Wozniacki,1,44,59.1%,51.4%,59.4%,48.0%,50.0%,42.9%,52.9%,46.7%,53.8%,45.5%
20230807-W-Montreal-R64-Caroline_Wozniacki-Kimberly_Birrell,Caroline Wozniacki,2,18,66.7%,66.7%,70.6%,66.7%,71.4%,69.2%,75.0%,70.0%,77.8%,66.7%
20230807-W-Montreal-R64-Caroline_Wozniacki-Kimberly_Birrell,Kimberly Birrell,1,28,46.4%,28.6%,37.5%,23.1%,25.0%,10.0%,16.7%,16.7%,25.0%,0.0%
20230807-W-Montreal-R64-Caroline_Wozniacki-Kimberly_Birrell,Kimberly Birrell,2,14,57.1%,50.0%,54.5%,54.5%,60.0%,55.6%,62.5%,50.0%,50.0%,40.0%
20230807-W-Montreal-R64-Camila_Giorgi-Bianca_Andreescu,Camila Giorgi,1,29,79.3%,71.4%,75.0%,66.7%,71.4%,60.0%,75.0%,60.0%,100.0%,100.0%
20230807-W-Montreal-R64-Camila_Giorgi-Bianca_Andreescu,Camila Giorgi,2,27,63.0%,50.0%,62.5%,45.5%,50.0%,37.5%,75.0%,66.7%,100.0%,-
20230807-W-Montreal-R64-Camila_Giorgi-Bianca_Andreescu,Bianca Andreescu,1,37,62.2%,50.0%,63.6%,27.3%,42.9%,33.3%,50.0%,0.0%,-,-
20230807-W-Montreal-R64-Camila_Giorgi-Bianca_Andreescu,Bianca Andreescu,2,22,45.5%,29.4%,41.7%,12.5%,33.3%,33.3%,100.0%,100.0%,100.0%,100.0%
20230806-W-Washington-F-Coco_Gauff-Maria_Sakkari,Coco Gauff,1,29,72.4%,55.6%,66.7%,44.4%,66.7%,50.0%,66.7%,50.0%,100.0%,-
20230806-W-Washington-F-Coco_Gauff-Maria_Sakkari,Coco Gauff,2,24,50.0%,36.8%,46.7%,20.0%,22.2%,22.2%,28.6%,28.6%,40.0%,25.0%
20230806-W-Washington-F-Coco_Gauff-Maria_Sakkari,Maria Sakkari,1,24,45.8%,40.9%,52.9%,46.7%,53.8%,40.0%,57.1%,50.0%,75.0%,50.0%
20230806-W-Washington-F-Coco_Gauff-Maria_Sakkari,Maria Sakkari,2,19,42.1%,42.1%,53.3%,50.0%,53.8%,50.0%,54.5%,50.0%,55.6%,55.6%
20230804-W-Washington-QF-Coco_Gauff-Belinda_Bencic,Coco Gauff,1,35,60.0%,36.4%,40.0%,20.0%,27.3%,20.0%,40.0%,0.0%,0.0%,0.0%
20230804-W-Washington-QF-Coco_Gauff-Belinda_Bencic,Coco Gauff,2,19,63.2%,41.7%,62.5%,57.1%,66.7%,33.3%,33.3%,0.0%,0.0%,0.0%
20230804-W-Washington-QF-Coco_Gauff-Belinda_Bencic,Belinda Bencic,1,30,43.3%,34.6%,37.5%,25.0%,31.3%,26.7%,36.4%,22.2%,28.6%,28.6%
20230804-W-Washington-QF-Coco_Gauff-Belinda_Bencic,Belinda Bencic,2,16,43.8%,35.7%,41.7%,36.4%,44.4%,16.7%,50.0%,50.0%,50.0%,50.0%
20230731-W-Washington-R32-Marta_Kostyuk-Bianca_Andreescu,Marta Kostyuk,1,69,59.4%,41.7%,58.8%,46.2%,63.2%,46.2%,54.5%,37.5%,75.0%,50.0%
20230731-W-Washington-R32-Marta_Kostyuk-Bianca_Andreescu,Marta Kostyuk,2,44,54.5%,37.5%,52.2%,35.3%,40.0%,30.8%,44.4%,37.5%,60.0%,50.0%
20230731-W-Washington-R32-Marta_Kostyuk-Bianca_Andreescu,Bianca Andreescu,1,59,66.1%,53.5%,60.5%,40.0%,71.4%,50.0%,66.7%,66.7%,80.0%,66.7%
20230731-W-Washington-R32-Marta_Kostyuk-Bianca_Andreescu,Bianca Andreescu,2,24,54.2%,47.6%,55.6%,46.7%,58.3%,28.6%,40.0%,40.0%,40.0%,0.0%
20230729-W-Warsaw-QF-Iga_Swiatek-Linda_Noskova,Iga Swiatek,1,40,72.5%,52.2%,57.1%,47.1%,66.7%,60.0%,100.0%,100.0%,100.0%,100.0%
20230729-W-Warsaw-QF-Iga_Swiatek-Linda_Noskova,Iga Swiatek,2,10,60.0%,60.0%,75.0%,50.0%,66.7%,50.0%,50.0%,0.0%,-,-
20230729-W-Warsaw-QF-Iga_Swiatek-Linda_Noskova,Linda Noskova,1,36,66.7%,45.5%,62.5%,33.3%,50.0%,0.0%,0.0%,0.0%,-,-
20230729-W-Warsaw-QF-Iga_Swiatek-Linda_Noskova,Linda Noskova,2,21,33.3%,22.2%,33.3%,33.3%,57.1%,40.0%,40.0%,25.0%,50.0%,0.0%
20230729-W-Hamburg-F-Arantxa_Rus-Noma_Noha_Akugue,Arantxa Rus,1,45,62.2%,46.9%,50.0%,40.0%,52.6%,35.7%,50.0%,37.5%,50.0%,25.0%
20230729-W-Hamburg-F-Arantxa_Rus-Noma_Noha_Akugue,Arantxa Rus,2,25,68.0%,65.2%,68.2%,61.1%,68.8%,61.5%,66.7%,60.0%,85.7%,80.0%
20230729-W-Hamburg-F-Arantxa_Rus-Noma_Noha_Akugue,Noma Noha Akugue,1,29,58.6%,52.0%,65.0%,56.3%,64.3%,58.3%,63.6%,50.0%,80.0%,75.0%
20230729-W-Hamburg-F-Arantxa_Rus-Noma_Noha_Akugue,Noma Noha Akugue,2,28,46.4%,40.0%,55.6%,46.7%,63.6%,50.0%,66.7%,50.0%,100.0%,100.0%
20230728-W-ITF_Figueira_Da_Foz-QF-Francisca_Jorge-Yuriko_Miyazaki,Francisca Jorge,1,26,80.8%,61.5%,66.7%,60.0%,85.7%,80.0%,80.0%,66.7%,100.0%,100.0%
20230728-W-ITF_Figueira_Da_Foz-QF-Francisca_Jorge-Yuriko_Miyazaki,Francisca Jorge,2,20,80.0%,73.3%,84.6%,77.8%,87.5%,80.0%,100.0%,100.0%,100.0%,100.0%
20230728-W-ITF_Figueira_Da_Foz-QF-Francisca_Jorge-Yuriko_Miyazaki,Yuriko Miyazaki,1,29,69.0%,52.6%,66.7%,50.0%,71.4%,60.0%,100.0%,-,-,-
20230728-W-ITF_Figueira_Da_Foz-QF-Francisca_Jorge-Yuriko_Miyazaki,Yuriko Miyazaki,2,21,57.1%,43.8%,58.3%,37.5%,75.0%,50.0%,50.0%,50.0%,100.0%,100.0%
20230727-W-Warsaw-R16-Claire_Liu-Iga_Swiatek,Claire Liu,1,36,55.6%,42.9%,57.1%,47.1%,53.3%,36.4%,50.0%,42.9%,60.0%,33.3%
20230727-W-Warsaw-R16-Claire_Liu-Iga_Swiatek,Claire Liu,2,21,33.3%,30.0%,46.2%,30.0%,60.0%,33.3%,50.0%,0.0%,0.0%,0.0%
20230727-W-Warsaw-R16-Claire_Liu-Iga_Swiatek,Iga Swiatek,1,38,73.7%,66.7%,74.1%,50.0%,53.8%,33.3%,42.9%,33.3%,50.0%,33.3%
20230727-W-Warsaw-R16-Claire_Liu-Iga_Swiatek,Iga Swiatek,2,19,47.4%,37.5%,42.9%,38.5%,62.5%,50.0%,50.0%,40.0%,50.0%,0.0%
20230726-W-Lausanne-R16-Mirra_Andreeva-Anna_Bondar,Mirra Andreeva,1,45,64.4%,57.9%,59.5%,46.4%,52.0%,36.8%,53.8%,50.0%,66.7%,62.5%
20230726-W-Lausanne-R16-Mirra_Andreeva-Anna_Bondar,Mirra Andreeva,2,26,57.7%,52.2%,54.5%,37.5%,50.0%,40.0%,50.0%,33.3%,40.0%,40.0%
20230726-W-Lausanne-R16-Mirra_Andreeva-Anna_Bondar,Anna Bondar,1,39,84.6%,75.0%,85.7%,78.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20230726-W-Lausanne-R16-Mirra_Andreeva-Anna_Bondar,Anna Bondar,2,30,50.0%,40.0%,45.5%,40.0%,61.5%,58.3%,63.6%,55.6%,71.4%,66.7%
20230725-W-Warsaw-R32-Nigina_Abduraimova-Iga_Swiatek,Nigina Abduraimova,1,37,64.9%,45.8%,68.8%,54.5%,66.7%,50.0%,50.0%,40.0%,50.0%,33.3%
20230725-W-Warsaw-R32-Nigina_Abduraimova-Iga_Swiatek,Nigina Abduraimova,2,24,54.2%,45.0%,56.3%,50.0%,63.6%,42.9%,50.0%,40.0%,50.0%,0.0%
